PSR %CPU
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 25.2
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.2
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 25.3
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  0 25.4
  0  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 25.4
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.5
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.5
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.5
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 25.5
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 25.6
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.7
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.7
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  2 25.8
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  2  0.5
PSR %CPU
  2 25.8
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 25.8
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 25.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  0  0.6
  0  0.5
PSR %CPU
  0 25.9
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  2 26.0
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  2 26.0
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  0 26.1
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 26.2
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 26.2
  1  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  0 26.2
  1  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  0 26.4
  3  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  0 26.4
  3  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  3  0.6
  1  0.5
PSR %CPU
  2 26.4
  1  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  2 26.4
  1  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  2 26.5
  1  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  1  0.6
  1  0.5
PSR %CPU
  2 26.5
  1  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  0 26.6
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  2 26.7
  2  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  2 26.7
  2  0.6
  1  0.0
  1  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  0 26.7
  2  0.6
  1  0.0
  2  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  1  0.5
PSR %CPU
  0 26.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 26.8
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 26.9
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  0  0.5
PSR %CPU
  0 27.0
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 27.0
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 27.0
  2  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  2 27.1
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
  2  0.0
  2  0.6
  2  0.5
PSR %CPU
  0 27.1
  0  0.6
  1  0.0
  0  0.5
  3  0.0
  0  0.0
